Sample_ID,Sport,Dport,Dur,TotPkts,TotBytes,SrcBytes,DstBytes,sRate,dRate,sLoad,dLoad,sMeanPktSz,dMeanPktSz,sJitter,dJitter,sHops,dHops,sTtl,dTtl,Proto_Code,State_Code,Mean_Pulse,Mean_SpO2,Mean_Temp,Mean_Blood_Pressure,Respiration_Rate,Mean_ECG,Tcp_Rtt,Ack_Dat,Syn_Ack,sLoss,dLoss,sWin,dWin,sAppBytes,dAppBytes,Label
NORM-0070,53.0,53.0,2.9072,42.0,8348.0,1181.0,3542.0,16.24,19.37,10875.21,40074.58,214.23,126.42,0.0294,0.0079,4.0,14.0,64.0,255.0,6.0,2.0,67.3,97.2,37.0,106.6,18.1,0.64,0.015,0.0396,0.0076,0.0,0.0,65535.0,65535.0,344.0,836.0,0
NORM-0056,50167.0,443.0,0.1675,8.0,12652.0,7520.0,1428.0,18.37,25.98,28804.96,18478.27,144.55,71.99,0.0485,0.0162,12.0,3.0,128.0,64.0,6.0,2.0,63.0,96.3,37.3,129.6,13.0,0.97,0.069,0.038,0.0094,0.0,0.0,65535.0,65535.0,4629.0,4019.0,0
ATTK-0001,8080.0,22.0,14.568,1014.0,1175973.0,950031.0,10180.0,724.67,17.78,2701810.22,26278.15,523.41,414.45,0.1682,0.1276,11.0,21.0,64.0,64.0,17.0,1.0,69.8,98.2,36.9,125.9,16.9,0.52,0.131,0.198,0.273,6.0,3.0,1024.0,1024.0,5670.0,2824.0,1
NORM-0030,53.0,443.0,0.147,26.0,6396.0,2152.0,3149.0,5.04,6.69,43275.46,1054.25,156.55,153.01,0.0173,0.0221,8.0,11.0,128.0,255.0,6.0,2.0,71.2,97.1,35.9,105.0,14.2,1.07,0.0332,0.0376,0.0067,0.0,0.0,65535.0,65535.0,2574.0,2411.0,0
NORM-0128,80.0,443.0,0.3494,44.0,2154.0,5164.0,2721.0,22.53,22.98,29920.45,7443.19,202.1,127.41,0.0016,0.0147,2.0,5.0,255.0,64.0,6.0,2.0,78.7,98.7,37.5,122.4,16.5,0.71,0.0236,0.0277,0.0219,0.0,0.0,65535.0,65535.0,1006.0,2308.0,0
NORM-0027,443.0,80.0,2.0906,40.0,3463.0,5562.0,959.0,13.55,21.22,40564.15,44944.71,116.31,137.51,0.0077,0.0292,3.0,14.0,255.0,255.0,6.0,2.0,58.2,97.4,36.6,138.5,15.7,1.1,0.0147,0.0121,0.0056,0.0,0.0,65535.0,65535.0,1648.0,2375.0,0
NORM-0129,80.0,53.0,0.1247,27.0,3132.0,517.0,1274.0,28.85,10.84,18405.01,15171.55,230.67,166.96,0.046,0.0157,2.0,2.0,255.0,128.0,6.0,2.0,77.5,98.8,36.8,127.8,12.5,0.98,0.029,0.0221,0.0063,0.0,0.0,65535.0,65535.0,1524.0,4059.0,0
NORM-0132,80.0,443.0,1.0667,19.0,1816.0,1282.0,6560.0,28.42,17.11,31215.31,13843.35,72.15,200.12,0.006,0.0052,12.0,5.0,64.0,64.0,6.0,2.0,75.9,98.5,36.5,106.5,17.7,0.88,0.0694,0.0227,0.0128,0.0,0.0,65535.0,65535.0,523.0,4731.0,0
ATTK-0014,80.0,22.0,1.7855,18.0,567.0,1044.0,20204.0,21.57,5.01,6865.13,19309.92,872.22,192.77,0.5081,0.2722,7.0,2.0,64.0,255.0,17.0,1.0,42.0,72.0,41.2,195.0,6.0,-1.2,0.3225,0.074,0.382,1.0,1.0,1024.0,1024.0,9906.0,2157.0,1
NORM-0109,34424.0,443.0,0.6725,15.0,8681.0,657.0,2605.0,11.8,15.04,9894.63,24303.51,194.27,169.31,0.0056,0.0424,8.0,3.0,64.0,255.0,6.0,2.0,80.0,98.7,36.2,121.4,12.5,0.81,0.0258,0.0303,0.0343,0.0,0.0,65535.0,65535.0,720.0,587.0,0
ATTK-0012,80.0,443.0,39.3663,2651.0,1099950.0,891268.0,26362.0,1090.26,12.45,6281341.84,18592.41,256.41,173.88,0.7732,0.5164,18.0,8.0,32.0,255.0,6.0,1.0,69.9,96.4,37.3,126.2,19.2,0.85,0.2518,0.0979,0.4843,10.0,5.0,1024.0,1024.0,7748.0,2107.0,1
NORM-0046,53.0,44968.0,1.7769,42.0,6716.0,3399.0,2522.0,23.72,23.23,25071.61,40293.36,87.34,227.02,0.0057,0.0085,5.0,8.0,64.0,64.0,6.0,2.0,75.6,96.0,36.5,117.6,15.6,0.81,0.0676,0.0109,0.0101,0.0,0.0,65535.0,65535.0,512.0,4331.0,0
NORM-0031,53.0,443.0,0.1316,19.0,2762.0,556.0,6464.0,5.23,8.52,2532.89,5867.7,177.83,105.91,0.0289,0.0299,10.0,12.0,128.0,64.0,6.0,2.0,79.4,98.2,37.0,116.3,14.2,0.85,0.0743,0.0209,0.0261,0.0,0.0,65535.0,65535.0,4565.0,4926.0,0
NORM-0023,8080.0,443.0,0.8952,39.0,12778.0,6891.0,4608.0,21.23,20.08,38382.25,3556.77,129.66,162.51,0.0176,0.0424,5.0,7.0,128.0,255.0,6.0,2.0,88.3,97.8,36.7,112.5,13.9,0.66,0.0449,0.0236,0.0087,0.0,0.0,65535.0,65535.0,305.0,2113.0,0
NORM-0016,53.0,80.0,0.9934,32.0,14810.0,437.0,5137.0,28.78,6.84,42676.15,29031.25,83.17,171.77,0.0346,0.0016,2.0,7.0,255.0,255.0,6.0,2.0,62.0,97.6,36.5,124.4,17.0,0.89,0.0177,0.0399,0.0358,0.0,0.0,65535.0,65535.0,3485.0,1562.0,0
NORM-0066,8080.0,443.0,0.5959,22.0,7386.0,2208.0,2310.0,24.9,25.78,40333.31,12705.36,112.09,108.4,0.0076,0.0472,8.0,6.0,255.0,64.0,6.0,2.0,57.8,97.4,36.5,125.8,16.1,0.96,0.0248,0.0371,0.0348,0.0,0.0,65535.0,65535.0,1391.0,4272.0,0
NORM-0012,80.0,443.0,0.1905,31.0,8911.0,7611.0,3147.0,6.23,12.97,26663.89,5473.56,218.36,69.87,0.0463,0.0059,12.0,12.0,255.0,255.0,6.0,2.0,63.1,98.8,36.9,120.5,15.4,0.83,0.0475,0.023,0.035,0.0,0.0,65535.0,65535.0,4201.0,2421.0,0
NORM-0043,47342.0,80.0,1.4126,28.0,1129.0,4498.0,3040.0,26.88,18.65,22753.2,42181.25,222.26,121.22,0.0277,0.025,7.0,9.0,255.0,128.0,6.0,2.0,65.1,99.2,37.0,110.4,16.9,0.66,0.0635,0.0317,0.0218,0.0,0.0,65535.0,65535.0,3205.0,2390.0,0
ATTK-0015,8080.0,443.0,0.2344,5.0,1229.0,574.0,19144.0,31.14,8.25,2426.09,30213.53,156.54,280.42,0.614,0.3677,28.0,9.0,32.0,64.0,6.0,1.0,73.4,92.3,37.5,142.3,15.9,0.97,0.365,0.3515,0.2476,17.0,7.0,1024.0,1024.0,7176.0,4344.0,1
NORM-0052,53.0,53.0,1.9121,43.0,5709.0,935.0,2898.0,7.37,7.99,36432.58,18120.26,100.76,166.91,0.038,0.0136,8.0,12.0,255.0,255.0,6.0,2.0,77.2,98.3,37.4,134.5,15.3,0.91,0.0505,0.0052,0.0063,0.0,0.0,65535.0,65535.0,4691.0,3466.0,0
NORM-0028,53.0,80.0,0.405,40.0,14420.0,7713.0,5362.0,18.52,10.83,44952.84,11344.27,121.82,232.72,0.0269,0.0374,4.0,9.0,128.0,128.0,6.0,2.0,66.3,96.8,37.1,123.5,20.8,0.91,0.0654,0.0324,0.0203,0.0,0.0,65535.0,65535.0,4332.0,2486.0,0
NORM-0005,24652.0,53.0,3.0696,36.0,14562.0,2402.0,5539.0,22.92,14.78,14339.84,5241.2,231.49,146.6,0.0109,0.016,12.0,9.0,128.0,64.0,6.0,2.0,60.4,98.7,36.6,122.3,16.0,1.09,0.0555,0.008,0.0196,0.0,0.0,65535.0,65535.0,3977.0,399.0,0
NORM-0033,80.0,443.0,2.9251,22.0,2602.0,4752.0,6322.0,27.01,16.87,31467.81,13020.24,69.6,172.97,0.0154,0.0335,14.0,12.0,64.0,64.0,6.0,2.0,80.0,96.8,37.2,120.4,14.3,0.69,0.0377,0.0287,0.0304,0.0,0.0,65535.0,65535.0,3862.0,2921.0,0
ATTK-0011,8080.0,80.0,54.9092,6724.0,1849409.0,1601069.0,49621.0,684.21,15.81,2704091.85,40292.2,505.55,406.88,0.1151,0.0833,12.0,14.0,255.0,64.0,17.0,1.0,76.7,96.7,36.9,133.4,17.8,0.9,0.276,0.471,0.0518,10.0,1.0,1024.0,1024.0,2507.0,1270.0,1
NORM-0086,53.0,443.0,0.914,12.0,1285.0,5482.0,5483.0,24.98,18.46,42986.16,5306.86,112.43,138.69,0.0031,0.023,7.0,4.0,255.0,128.0,6.0,2.0,69.9,99.1,36.8,122.2,17.5,0.93,0.0452,0.0196,0.014,0.0,0.0,65535.0,65535.0,1997.0,2612.0,0
NORM-0087,80.0,80.0,1.8727,28.0,6670.0,4073.0,5837.0,11.42,27.27,39451.38,43574.09,219.25,87.0,0.0268,0.0093,4.0,12.0,64.0,128.0,6.0,2.0,71.2,99.3,37.9,123.9,14.6,0.75,0.0518,0.0336,0.0074,0.0,0.0,65535.0,65535.0,2642.0,2658.0,0
NORM-0017,51212.0,443.0,2.6648,31.0,2084.0,5573.0,6320.0,5.72,9.78,8008.07,35177.79,97.66,233.02,0.0332,0.0028,1.0,1.0,64.0,64.0,6.0,2.0,56.1,98.8,36.2,96.7,14.6,0.96,0.0749,0.032,0.0294,0.0,0.0,65535.0,65535.0,4135.0,4222.0,0
NORM-0011,55268.0,443.0,0.0884,25.0,9240.0,3119.0,1364.0,25.62,11.45,8049.72,41522.7,91.45,114.1,0.0085,0.0067,8.0,1.0,255.0,64.0,6.0,2.0,73.9,96.2,37.0,130.1,16.3,0.9,0.0453,0.0356,0.0348,0.0,0.0,65535.0,65535.0,2775.0,408.0,0
NORM-0082,80.0,80.0,2.665,15.0,1030.0,991.0,3386.0,26.07,11.77,24510.13,44034.01,150.23,84.88,0.0035,0.0473,14.0,4.0,255.0,128.0,6.0,2.0,66.7,97.5,37.0,120.1,14.4,0.87,0.0453,0.0351,0.0207,0.0,0.0,65535.0,65535.0,818.0,1541.0,0
ATTK-0002,8080.0,80.0,1.3506,14.0,1737.0,531.0,9738.0,29.67,12.33,16077.65,16850.74,1047.19,330.76,0.1513,0.3808,11.0,1.0,255.0,64.0,6.0,1.0,84.2,96.9,37.1,122.7,18.5,1.01,0.4639,0.4794,0.179,3.0,8.0,1024.0,1024.0,4851.0,4615.0,1
ATTK-0006,80.0,443.0,0.9297,16.0,995.0,1201.0,18087.0,15.12,15.28,39754.53,31175.87,465.86,168.97,0.7751,0.3794,1.0,15.0,64.0,255.0,17.0,1.0,180.0,84.0,41.2,65.0,6.0,2.8,0.7614,0.4591,0.4694,6.0,5.0,1024.0,1024.0,2871.0,2238.0,1
NORM-0076,80.0,443.0,1.9396,37.0,1108.0,568.0,6002.0,8.88,18.56,22789.71,20485.47,73.64,212.52,0.0448,0.0015,8.0,3.0,128.0,255.0,6.0,2.0,69.0,96.5,37.1,114.4,14.8,0.67,0.0767,0.0223,0.0155,0.0,0.0,65535.0,65535.0,4620.0,2490.0,0
NORM-0110,37617.0,27200.0,3.9448,26.0,10717.0,4395.0,4849.0,18.13,19.67,46036.37,5422.97,120.0,73.77,0.0473,0.0228,2.0,10.0,64.0,255.0,6.0,2.0,49.1,96.6,36.8,119.5,17.4,0.84,0.0348,0.0277,0.023,0.0,0.0,65535.0,65535.0,687.0,1446.0,0
NORM-0097,53.0,443.0,1.4731,39.0,9769.0,2391.0,5398.0,25.7,21.24,29722.64,15188.39,192.48,241.82,0.0298,0.0336,6.0,7.0,255.0,255.0,6.0,2.0,56.3,96.6,36.1,123.1,14.2,0.68,0.0134,0.0191,0.0254,0.0,0.0,65535.0,65535.0,3832.0,3008.0,0
NORM-0106,16125.0,53.0,1.5668,41.0,13962.0,1986.0,3003.0,19.14,6.54,12062.98,37990.63,135.35,134.88,0.0131,0.0251,8.0,12.0,128.0,255.0,6.0,2.0,78.6,98.0,36.1,128.2,14.8,0.79,0.043,0.0254,0.0225,0.0,0.0,65535.0,65535.0,783.0,2466.0,0
NORM-0067,443.0,443.0,3.736,28.0,5142.0,1152.0,4484.0,24.0,7.08,39261.08,42294.5,198.39,143.83,0.044,0.0268,14.0,11.0,64.0,255.0,6.0,2.0,52.7,96.4,36.2,120.5,15.8,1.03,0.0377,0.0325,0.037,0.0,0.0,65535.0,65535.0,4031.0,1384.0,0
NORM-0001,53.0,80.0,3.5771,11.0,10702.0,1931.0,1021.0,29.39,22.27,39517.15,6637.0,145.57,130.45,0.0464,0.0325,6.0,12.0,128.0,128.0,6.0,2.0,65.1,97.9,36.4,128.8,15.9,0.82,0.0348,0.039,0.0363,0.0,0.0,65535.0,65535.0,3454.0,3936.0,0
NORM-0123,443.0,443.0,2.2642,19.0,11889.0,6626.0,5422.0,12.91,8.93,23227.09,25059.79,234.63,226.22,0.0459,0.0427,6.0,14.0,64.0,128.0,6.0,2.0,75.2,96.3,36.7,120.1,17.5,0.65,0.0772,0.0316,0.0274,0.0,0.0,65535.0,65535.0,487.0,3444.0,0
NORM-0068,53.0,53.0,0.5664,37.0,3477.0,2960.0,5648.0,29.02,21.32,45975.14,44304.15,126.89,181.26,0.0242,0.0493,4.0,2.0,128.0,128.0,6.0,2.0,72.0,97.0,36.5,119.1,12.8,0.87,0.0311,0.032,0.0168,0.0,0.0,65535.0,65535.0,1329.0,3110.0,0
NORM-0029,62305.0,53.0,1.1608,32.0,13616.0,2429.0,5598.0,9.63,17.49,5992.81,29728.57,241.52,157.42,0.0222,0.0028,14.0,14.0,255.0,64.0,6.0,2.0,65.7,96.9,36.4,110.8,15.6,1.02,0.0136,0.0089,0.0185,0.0,0.0,65535.0,65535.0,3932.0,490.0,0
NORM-0041,80.0,53.0,3.4398,29.0,1371.0,7908.0,3367.0,27.31,21.99,49598.58,24382.21,185.4,117.47,0.0474,0.019,11.0,11.0,128.0,128.0,6.0,2.0,74.8,98.5,36.8,121.3,17.6,0.84,0.034,0.0193,0.0204,0.0,0.0,65535.0,65535.0,1440.0,803.0,0
NORM-0045,80.0,443.0,2.1653,17.0,4642.0,4018.0,6240.0,21.59,6.68,41793.93,8759.68,140.46,164.92,0.0255,0.0346,12.0,10.0,64.0,255.0,6.0,2.0,81.8,96.3,37.0,129.7,18.5,1.02,0.0397,0.0068,0.0285,0.0,0.0,65535.0,65535.0,3862.0,1896.0,0
NORM-0061,80.0,7458.0,0.3476,18.0,3606.0,3403.0,2322.0,18.23,25.19,38266.76,32158.93,93.28,127.96,0.0244,0.0082,6.0,4.0,64.0,64.0,6.0,2.0,71.8,97.9,36.4,116.5,13.8,0.9,0.0624,0.0335,0.0207,0.0,0.0,65535.0,65535.0,2308.0,4138.0,0
NORM-0124,443.0,53.0,0.5661,8.0,14115.0,2538.0,2391.0,11.38,21.07,33165.99,20857.15,180.16,90.3,0.034,0.0143,14.0,4.0,128.0,64.0,6.0,2.0,76.2,97.2,37.4,130.0,14.1,0.71,0.019,0.0291,0.038,0.0,0.0,65535.0,65535.0,797.0,2248.0,0
NORM-0025,8080.0,53.0,2.7705,23.0,14571.0,1215.0,6898.0,12.21,21.61,37749.19,16245.69,83.54,67.78,0.0391,0.025,13.0,14.0,255.0,128.0,6.0,2.0,57.8,97.4,36.6,132.7,14.7,0.75,0.0747,0.0338,0.0063,0.0,0.0,65535.0,65535.0,464.0,1988.0,0
NORM-0026,80.0,443.0,1.7047,36.0,10928.0,5393.0,5506.0,26.64,21.75,40242.71,3154.4,104.56,178.16,0.043,0.0012,14.0,8.0,64.0,255.0,6.0,2.0,75.8,97.4,36.6,133.6,13.9,0.49,0.0344,0.0349,0.0155,0.0,0.0,65535.0,65535.0,3606.0,3033.0,0
NORM-0024,65419.0,53.0,0.6571,8.0,5611.0,2805.0,1664.0,5.62,26.26,22962.16,14531.54,173.71,61.39,0.0146,0.0354,8.0,9.0,255.0,255.0,6.0,2.0,82.7,97.7,36.7,123.6,11.2,0.68,0.0647,0.0353,0.009,0.0,0.0,65535.0,65535.0,2634.0,3715.0,0
NORM-0095,80.0,53036.0,0.4004,29.0,2699.0,3835.0,4979.0,26.19,9.7,8379.43,1379.16,68.98,204.83,0.0494,0.0032,5.0,11.0,64.0,64.0,6.0,2.0,83.8,98.6,36.0,118.1,17.6,0.7,0.028,0.0116,0.0093,0.0,0.0,65535.0,65535.0,2076.0,2865.0,0
NORM-0040,53.0,4513.0,2.1258,38.0,3809.0,2000.0,6496.0,15.95,19.34,1113.13,44708.21,113.37,71.79,0.0235,0.0073,7.0,3.0,255.0,128.0,6.0,2.0,73.8,99.2,36.4,109.6,18.2,0.79,0.052,0.0215,0.0383,0.0,0.0,65535.0,65535.0,2722.0,1845.0,0
NORM-0096,8080.0,15307.0,2.6643,25.0,13474.0,3362.0,5718.0,11.18,17.34,15573.19,15510.56,237.07,189.56,0.0488,0.0214,3.0,8.0,255.0,128.0,6.0,2.0,83.8,96.8,36.6,111.2,17.6,0.68,0.0239,0.0318,0.0084,0.0,0.0,65535.0,65535.0,935.0,4521.0,0
NORM-0118,443.0,443.0,0.0118,20.0,4320.0,5576.0,6432.0,24.93,27.28,5937.31,27055.86,108.86,163.16,0.0167,0.0149,3.0,9.0,255.0,64.0,6.0,2.0,67.7,98.3,36.8,131.4,16.0,0.67,0.0558,0.0299,0.0301,0.0,0.0,65535.0,65535.0,3137.0,4400.0,0
NORM-0048,443.0,12870.0,4.7181,43.0,13194.0,3854.0,1669.0,10.52,19.75,15165.1,33327.91,167.62,164.67,0.0416,0.0358,7.0,1.0,128.0,64.0,6.0,2.0,62.8,97.7,36.8,110.0,15.8,0.61,0.0493,0.0185,0.0145,0.0,0.0,65535.0,65535.0,834.0,2705.0,0
NORM-0098,53.0,53.0,0.49,18.0,12021.0,6468.0,4523.0,18.44,18.55,5958.47,13018.89,160.21,225.87,0.0343,0.0054,6.0,9.0,64.0,64.0,6.0,2.0,60.5,98.9,37.3,112.6,14.7,0.94,0.0705,0.0303,0.0232,0.0,0.0,65535.0,65535.0,1471.0,1967.0,0
NORM-0114,53.0,18678.0,4.7909,43.0,6929.0,1918.0,5335.0,16.45,13.95,26738.88,14979.78,79.81,138.82,0.0071,0.0211,10.0,8.0,64.0,255.0,6.0,2.0,72.9,98.2,36.0,122.8,13.2,0.75,0.0292,0.019,0.0235,0.0,0.0,65535.0,65535.0,2777.0,204.0,0
NORM-0034,53.0,47317.0,2.4059,42.0,8107.0,7563.0,482.0,24.9,16.49,20990.11,5139.17,229.03,135.05,0.0344,0.0083,6.0,14.0,64.0,64.0,6.0,2.0,83.5,99.0,36.9,108.4,11.8,0.57,0.0715,0.0183,0.0231,0.0,0.0,65535.0,65535.0,626.0,3760.0,0
ATTK-0007,3128.0,443.0,33.7833,7674.0,1320912.0,1449971.0,10754.0,876.39,15.18,1956943.46,25169.54,890.64,21.19,0.692,0.5075,22.0,11.0,32.0,64.0,17.0,1.0,66.9,96.1,37.2,139.3,18.4,1.15,0.1005,0.3402,0.3732,1.0,5.0,1024.0,1024.0,7440.0,2507.0,1
NORM-0102,53.0,49943.0,0.3605,28.0,10637.0,7942.0,565.0,11.56,15.13,2518.74,28177.46,188.88,201.88,0.0263,0.0306,5.0,6.0,128.0,64.0,6.0,2.0,85.7,98.3,37.1,121.2,14.8,0.85,0.0679,0.0241,0.0267,0.0,0.0,65535.0,65535.0,1455.0,3544.0,0
NORM-0063,80.0,443.0,4.6372,25.0,7819.0,4138.0,3088.0,19.2,17.25,41994.04,5780.91,102.78,210.67,0.0425,0.0497,10.0,13.0,64.0,255.0,6.0,2.0,78.7,97.4,36.8,133.6,15.5,0.58,0.049,0.0154,0.0109,0.0,0.0,65535.0,65535.0,1273.0,1136.0,0
NORM-0085,80.0,80.0,0.9796,44.0,5613.0,2996.0,2564.0,7.24,4.6,10903.6,34292.57,248.25,236.42,0.0257,0.0271,14.0,5.0,64.0,255.0,6.0,2.0,73.6,99.0,36.9,128.2,16.2,0.97,0.0316,0.0375,0.0083,0.0,0.0,65535.0,65535.0,4649.0,4972.0,0
ATTK-0017,80.0,22.0,0.5473,19.0,1002.0,1109.0,47990.0,22.62,5.01,9853.54,42896.55,775.92,63.27,0.5878,0.2376,24.0,25.0,255.0,255.0,6.0,1.0,73.7,96.6,37.0,109.0,18.0,0.68,0.3751,0.1677,0.1752,1.0,9.0,1024.0,1024.0,2403.0,867.0,1
NORM-0054,26164.0,80.0,1.8009,31.0,14746.0,5943.0,4407.0,15.62,12.88,21463.35,6209.56,211.0,219.17,0.0149,0.0159,11.0,13.0,64.0,64.0,6.0,2.0,75.0,97.6,37.3,112.4,14.9,0.85,0.0533,0.0064,0.0212,0.0,0.0,65535.0,65535.0,4813.0,2706.0,0
NORM-0006,8080.0,80.0,0.4415,33.0,2268.0,1731.0,4278.0,9.26,26.2,29472.0,16262.27,172.27,64.33,0.048,0.0246,7.0,11.0,64.0,64.0,6.0,2.0,88.0,97.7,37.0,110.1,11.7,0.89,0.0332,0.0232,0.0204,0.0,0.0,65535.0,65535.0,1565.0,303.0,0
NORM-0094,80.0,36120.0,0.3307,25.0,8585.0,6236.0,3213.0,24.89,15.73,25532.38,44520.05,88.52,217.83,0.0035,0.0244,2.0,13.0,64.0,128.0,6.0,2.0,74.9,96.9,37.0,142.3,15.5,0.91,0.0329,0.0157,0.0138,0.0,0.0,65535.0,65535.0,4351.0,1952.0,0
